I,d,O,
##,d,O,


Kung,c,O,O
madadama,o,B-PRD,O
lamang,c,O,O
natin,p,B-NG,O
ang,f,B-ANG,O
dibdib,o,I-ANG,O
ni,f,I-ANG,O
Leonora,n,I-ANG,O
+COMMA,d,O,O
ay,f,O,O
ating,p,O,O
mararamdaman,o,O,O
na,f,O,O
para,c,O,O
bang,c,O,O
lalong,c,O,O
lumalakas,o,O,B-PRD-SUB
ang,f,O,B-ANG
pagkaba,o,O,I-ANG
.,d,O,O


Malakas,o,B-PRD,
at,f,I-PRD,
masasal,o,I-PRD,
na,f,O,
parang,c,O,
tinatahip,o,O,
ang,f,B-ANG
dibdib,o,I-ANG
sa,f,B-SA
lakas,o,I-SA
ng,f,I-SA
tibok,o,I-SA
ng,f,I-SA
puso,o,I-SA
.,d,O


Parang,c,O
may,c,O
sindak,o,O
+COMMA,d,O
nguni,c,O
t,c,O
sa,c,B-SA
harap,o,I-SA
pa,f,O
ba,f,O
kaya,c,O
naman,c,O
ng,f,B-NG
isang,c,I-NG
kasintahan,o,I-NG
masisindak,o,B-PRD
at,f,I-PRD
waring,c,I-PRD
matatakot,o,I-PRD
?,d,O


Isang,c,O
hiwaga,o,O
ang,f,O
ganito,o,O
!,d,O


Sila,p,B-ANG
y,f,B-PRD
magkapiling,o,I-PRD
ni,f,B-NG
Eduardo,n,I-NG
.,d,O
##,d,O


Ang,f,B-ANG,O,O
kanilang,p,I-ANG,O,O
mga,f,I-ANG,O,O
puso,o,I-ANG,O,O
ay,f,B-PRD,O,O
parang,c,I-PRD,O,O
nangapiping,o,I-PRD,O,O
ilang,c,O,O,O
sandali,o,O,O,O
sa,f,O,O,O
dahilang,o,O,O,O
tila,o,O,B-PRD-SUB,O
tumagos,o,O,I-PRD-SUB,O
sa,f,O,B-SA,O
puso,o,O,I-SA,O
ng,f,O,I-SA,O
binibini,o,O,I-SA,O
ang,f,O,B-ANG,O
pangungusap,o,O,B-ANG,O
na,f,O,O,O
binigkas,o,O,O,B-PRD-SUB
ng,f,O,O,B-NG
binata,o,O,O,I-NG
.,d,O,O,O


Ang,f,B-ANG,O,
huling,o,I-ANG,O,
katagang,o,I-ANG,B-ANG,
binigkas,o,I-ANG,B-PRD-SUB,
ni,f,I-ANG,B-NG,
Eduardo,n,I-ANG,I-NG,
ay,f,B-PRD,O,
parang,c,I-PRD,O,
nagdulot,o,I-PRD,O,
sa,f,B-SA,O,
puso,o,I-SA,O,
ni,f,I-SA,O,
Leoning,n,I-SA,O,
ng,f,B-NG,O,
isang,c,I-NG,O,
pagkaawa,o,I-NG,O,
.,d,O,O,


Nguni,c,O,O,O
t,f,O,O,O
ang,f,B-ANG,O,O
pagkaawa,o,I-ANG,O,O
niyang,p,I-ANG,O,O
yaon,c,I-ANG,O,O
ay,f,B-PRD,O,O
nangahulugan,o,I-PRD,O,O
ng,f,B-NG,O,O
kanyang,p,I-NG,O,O
pagkapipi,o,I-NG,O,O
sa,f,B-SA,O,O
dahilang,o,I-SA,O,O
hindi,c,I-SA,B-PRD,O
mabigkas,o,I-SA,I-PRD-SUB,O
ng,f,I-SA,B-NG,O
bibig,o,I-SA,I-ING,O
ang,f,I-SA,B-ANG,O
isasagot,o,I-SA,I-ANG,O
+COMMA,d,O,O,O
samantalang,o,O,O,O
+COMMA,d,O,O,O
sa,f,O,O,B-SA
katotohanan,o,O,O,I-SA
ay,f,O,O,B-PRD
di,c,O,O,I-PRD
natin,p,O,O,I-PRD
nababatid,o,O,O,I-PRD
ang,f,O,O,B-ANG
mga,f,O,O,I-ANG
lihim,o,O,O,I-ANG
ng,f,O,O,I-ANG
kanilang,o,O,O,I-ANG
puso,o,O,O,I-ANG
.,d,O,O,O,,
##,d,O,O,O,,


At,f,O,O,O,O,O
upang,c,O,O,O,O,O
matalos,o,B-PRD,O,O,O,O
naman,c,O,O,O,O,O
natin,p,B-NG,O,O,O,O
kung,c,O,O,O,O,O
bakit,c,O,O,O,O,O
ang,f,O,B-ANG,O,O,O
binibini,o,O,I-ANG,O,O,O
ay,f,O,B-PRD,O,O,O
parang,c,O,I-PRD,O,O,O
sumisikdo,o,O,I-PRD,B-PRD-SUB,O,O
ang,f,O,I-PRD,B-ANG,O,O
puso,o,O,I-PRD,I-ANG,O,O
at,c,O,O,O,O,O
parang,c,O,O,O,O,O
tinatahip,o,O,O,O,B-PRD,O
ang,f,O,O,O,B-ANG,O
dibdib,o,O,O,O,I-ANG,O
ay,f,O,O,O,O,O
narito,o,O,O,O,O,B-PRD
ang,f,O,O,O,O,B-ANG
dahilan,o,O,O,O,O,I-ANG
.,d,O,O,O,O,O


Siya,p,B-ANG,,,,
ay,f,B-PRD,,,,
di,c,I-PRD,
natin,p,B-NG,
dapat,c,I-PRD,
pagkamalang,o,I-PRD,
natatakot,o,I-PRD,
.,d,O,


Ang,f,B-ANG,O
nasa,c,I-ANG,B-PRD-SUB
harap,o,I-ANG,I-PRD-SUB
niya,p,I-ANG,B-NG
ay,f,B-PRD,O
si,f,B-ANG,O
Eduardo,n,I-ANG,O
+COMMA,d,O,O
isang,c,O,O
uliran,o,O,O
+COMMA,d,O,O
mabait,o,O,O
at,f,O,O
matimtimang,o,O,O
binata,o,O,O
.,d,O,O


Walang,c,B-PRD,O
kilos,o,B-NG,B-ANG
na,f,O,O
magaspang,o,O,B-PRD-SUB
at,f,O,I-PRD-SUB
marungis,o,O,I-PRD-SUB
na,f,O,O
paguugali,o,O,O
.,d,O,O
##,d,O,O


Nang,f,B-SA,O
mga,f,I-SA,O
sandaling,o,I-SA,O
yaon,c,I-SA,O
ay,f,B-PRD,O
idinadaing,o,I-PRD,O
niya,p,B-NG,O
sa,f,B-SA,O
harap,o,I-SA,O
ni,f,I-SA,O
Leoning,n,I-SA,O
ang,f,B-ANG,O
dalisay,o,I-ANG,O
na,f,I-ANG,O
tibukin,o,I-ANG,O
ng,f,I-ANG,O
kanyang,p,I-ANG,O
puso,o,I-ANG,O
sa,f,O,O
dahilang,o,O,O
sinisinta,o,O,B-PRD
niya,p,O,B-NG
nang,f,O,O
tapat,o,O,O
si,f,O,B-ANG
Leonora,n,O,I-ANG
.,d,O,O
##,d,O,O


--,d,O,
Leoning,n,O,
+COMMA,d,O,
malaon,o,O,
nang,f,O,
ang,f,B-ANG,
palad,o,I-ANG,
ko,p,I-ANG,
ay,f,B-PRD,
nasa,c,I-PRD,
kandungan,o,I-PRD,
ng,f,B-NG,
dusa,o,I-NG,
.,d,O,


Nguni,c,O,O
t,f,O,O
kailan,f,O,O
ko,p,B-NG,O
pa,c,O,O
kaya,c,O,O
matatamo,o,B-PRD,O
ang,f,B-ANG,B-ANG
pagasang,o,I-ANG,I-ANG
maituturing,o,I-ANG,B-PRD-SUB
kong,p,I-ANG,B-NG
ligaya,o,I-ANG,I-NG
ng,f,I-ANG,I-NG,,
aking,p,I-ANG,I-NG,,
buhay,o,I-ANG,I-NG,,
?,d,O,O,,


Katulad,c,O,O,O,O
ko,p,O,O,O,O
Leoning,n,B-ANG,O,B-ANG,O
ay,f,B-PRD,O,O,O
isang,c,B-ANG,B-ANG,O,O
bulaklak,o,I-ANG,I-ANG,O,O
na,f,I-ANG,O,O,O
nalalanta,o,I-ANG,B-PRD-SUB,O,O
at,f,O,O,O,O
ang,f,O,O,B-PRD-SUB,O
tanging,o,O,O,I-PRD-SUB,O
makapagpapasariwa,o,O,O,I-PRD-SUB,O
+COMMA,d,O,O,O,O
lamang,c,O,O,O,O
ay,f,O,O,O,B-PRD-SUB
ang,f,O,O,O,I-PRD-SUB
hamog,o,O,O,O,I-PRD-SUB
ng,f,O,O,O,B-NG
iyong,p,O,O,O,I-NG
kaawaan,o,O,O,O,I-NG
.,d,O,O,O,O
##,d,O,O,O,O


Datapwa,c,O,O,O,
t,f,O,O,O,
ang,f,B-ANG,O,O
binibini,o,I-ANG,O,O
ay,f,B-PRD,O,O
patuloy,o,I-PRD,O,O
sa,f,B-SA,O,O
kanyang,p,I-SA,O,O
pagkapipi,o,I-SA,O,O
;,d,O,O,O
hindi,c,O,B-PRD,O
pa,c,O,I-PRD,O
rin,c,O,I-PRD,O
sumasagot,o,O,I-PRD,O
+COMMA,d,O,O,O
kaya,c,O,O,O
si,f,O,O,B-ANG
Eduardo,n,O,O,I-ANG
ay,f,O,O,B-PRD
muling,c,O,O,I-PRD
nangusap,o,O,O,I-PRD
.,d,O,O,O
##,d,O,O,O


--,d,O,,
Leoning,n,O,,
+COMMA,d,O,,
kailan,c,B-PRD,,
pa,c,O,,
?,d,O,,


Maanong,c,O,O,
sa,f,B-SA,O
ngayon,c,I-SA,O
ay,f,B-PRD,O
idulot,o,I-PRD,O
mo,p,B-NG,O
na,c,O,O
at,f,O,O
kung,c,O,O
